0 2.61072 0
0.241057 2.61072 0.00017
0.482114 2.61072 0.00033
45.3187	2.62621	0.02724
45.5597	2.6264	0.02734
45.8008	2.62658	0.02745
46.0418	2.62677	0.02755
46.2829	2.62696	0.02766
46.524	2.62715	0.02776
46.765	2.62734	0.02788
47.0061	2.62752	0.02797
47.2471	2.62772	0.02808
47.4882	2.62791	0.02817
47.7292	2.62811	0.02828
47.9703	2.62831	0.02838
48.2114	2.6285	0.02849
48.4524	2.6287	0.02858
48.6935	2.6289	0.02869
48.9345	2.6291	0.02878
49.1756	2.62931	0.02888
49.4166	2.62952	0.02897
49.6577	2.62972	0.02908
49.8988	2.62993	0.02916
50.1398	2.63014	0.02927
50.3809	2.63035	0.02936
50.6219	2.63056	0.02946
50.863	2.63078	0.02954
51.104	2.63099	0.02965
51.3451	2.63121	0.02973
51.5862	2.63142	0.02983
51.8272	2.63165	0.02991
52.0683	2.63187	0.03001
52.3093	2.63209	0.03009
52.5504	2.63232	0.03019
52.7914	2.63254	0.03027
53.0325	2.63277	0.03037
53.2736	2.633	0.03044
53.5146	2.63323	0.03054
53.7557	2.63346	0.03062
53.9967	2.6337	0.03072
54.2378	2.63393	0.03079
54.4788	2.63417	0.03089
54.7199	2.6344	0.03097
54.9609	2.63464	0.03105
55.202	2.63489	0.03113
55.4431	2.63513	0.03122
55.6841	2.63538	0.03129
55.9252	2.63563	0.03139
56.1662	2.63587	0.03146
56.4073	2.63612	0.03155
56.6483	2.63638	0.03162
56.8894	2.63662	0.03171
57.1305	2.63688	0.03177
57.3715	2.63713	0.03186
57.6126	2.6374	0.03192
57.8536	2.63765	0.03201
58.0947	2.63791	0.03207
58.3357	2.63818	0.03216
58.5768	2.63845	0.03222
58.8179	2.63871	0.03231
59.0589	2.63898	0.03237
59.3	2.63925	0.03245
59.541	2.63952	0.03251
59.7821	2.6398	0.03259
60.0231	2.64007	0.03266
60.2642	2.64034	0.03274
60.5053	2.64063	0.03279
60.7463	2.64091	0.03287
60.9874	2.64119	0.03293
61.2284	2.64148	0.03301
61.4695	2.64176	0.03306
61.7105	2.64205	0.03314
61.9516	2.64234	0.03319
62.1927	2.64263	0.03327
62.4337	2.64292	0.03332
62.6748	2.64322	0.0334
62.9158	2.64352	0.03345
63.1569	2.64381	0.03352
63.3979	2.64412	0.03357
63.639	2.64442	0.03365
63.8801	2.64472	0.03369
64.1211	2.64502	0.03376
64.3622	2.64533	0.0338
64.6032	2.64565	0.03388
64.8443	2.64595	0.03392
65.0853	2.64627	0.03399
65.3264	2.64658	0.03403
65.5674	2.64691	0.0341
65.8085	2.64722	0.03414
66.0496	2.64754	0.03421
66.2906	2.64787	0.03425
66.5317	2.6482	0.03431
66.7727	2.64852	0.03436
67.0138	2.64885	0.03441
67.2548	2.64919	0.03445
67.4959	2.64952	0.03452
67.737	2.64985	0.03455
67.978	2.65019	0.03462
68.2191	2.65053	0.03465
68.4601	2.65087	0.03471
68.7012	2.65121	0.03475
68.9422	2.65156	0.0348
69.1833	2.65191	0.03484
69.4244	2.65225	0.0349
69.6654	2.65261	0.03492
69.9065	2.65297	0.03498
70.1475	2.65332	0.03501
70.3886	2.65368	0.03506
70.6296	2.65404	0.0351
70.8707	2.6544	0.03515
71.1118	2.65477	0.03517
71.3528	2.65514	0.03523
71.5939	2.6555	0.03526
71.8349	2.65587	0.03531
72.076	2.65625	0.03533
72.317	2.65662	0.03538
72.5581	2.657	0.0354
72.7992	2.65738	0.03545
73.0402	2.65776	0.03547
73.2813	2.65814	0.03552
73.5223	2.65853	0.03554
73.7634	2.65892	0.03558
74.0044	2.65931	0.0356
74.2455	2.65971	0.03565
74.4865	2.6601	0.03567
74.7276	2.6605	0.0357
74.9687	2.6609	0.03572
75.2097	2.6613	0.03577
75.4508	2.6617	0.03578
75.6918	2.66211	0.03582
75.9329	2.66252	0.03583
76.1739	2.66294	0.03587
76.415	2.66335	0.03589
76.6561	2.66376	0.03592
76.8971	2.66418	0.03593
77.1382	2.6646	0.03597
77.3792	2.66503	0.03598
77.6203	2.66545	0.03602
77.8613	2.66588	0.03602
78.1024	2.66632	0.03606
78.3435	2.66675	0.03606
78.5845	2.66718	0.03609
78.8256	2.66763	0.0361
79.0666	2.66806	0.03614
79.3077	2.6685	0.03614
79.5487	2.66895	0.03617
79.7898	2.6694	0.03616
80.0309	2.66985	0.0362
80.2719	2.6703	0.0362
80.513	2.67076	0.03623
80.754	2.67122	0.03622
80.9951	2.67168	0.03625
81.2361	2.67214	0.03625
81.4772	2.67261	0.03628
81.7183	2.67308	0.03627
81.9593	2.67355	0.0363
82.2004	2.67402	0.03629
82.4414	2.6745	0.03632
82.6825	2.67498	0.03631
82.9235	2.67546	0.03634
83.1646	2.67594	0.03633
83.4057	2.67643	0.03635
83.6467	2.67692	0.03634
83.8878	2.67741	0.03636
84.1288	2.67791	0.03635
84.3699	2.6784	0.03637
84.6109	2.6789	0.03635
84.852	2.6794	0.03637
85.093	2.67991	0.03636
85.3341	2.68042	0.03637
85.5752	2.68093	0.03636
85.8162	2.68144	0.03637
86.0573	2.68196	0.03636
86.2983	2.68248	0.03638
86.5394	2.683	0.03635
86.7804	2.68353	0.03637
87.0215	2.68406	0.03635
87.2626	2.68458	0.03636
87.5036	2.68512	0.03634
87.7447	2.68565	0.03635
87.9857	2.6862	0.03632
88.2268	2.68674	0.03634
88.4678	2.68728	0.03631
88.7089	2.68783	0.03632
88.95	2.68838	0.03629
89.191	2.68894	0.0363
89.4321	2.6895	0.03627
89.6731	2.69006	0.03629
89.9142	2.69061	0.03625
90.1552	2.69119	0.03626
90.3963	2.69175	0.03623
90.6374	2.69233	0.03623
90.8784	2.6929	0.0362
91.1195	2.69348	0.0362
91.3605	2.69406	0.03617
91.6016	2.69464	0.03617
91.8426	2.69523	0.03614
92.0837	2.69582	0.03614
92.3248	2.69642	0.0361
92.5658	2.69701	0.0361
92.8069	2.69761	0.03606
93.0479	2.69821	0.03606
93.289	2.69882	0.03602
93.53	2.69943	0.03602
93.7711	2.70004	0.03598
94.0121	2.70065	0.03597
94.2532	2.70127	0.03593
94.4943	2.70189	0.03592
94.7353	2.70252	0.03588
94.9764	2.70315	0.03587
95.2174	2.70378	0.03582
95.4585	2.70441	0.03581
95.6995	2.70505	0.03576
95.9406	2.70569	0.03575
96.1817	2.70634	0.0357
96.4227	2.70698	0.03569
96.6638	2.70764	0.03563
96.9048	2.70829	0.03562
97.1459	2.70895	0.03556
97.3869	2.70961	0.03555
97.628	2.71028	0.03549
97.8691	2.71094	0.03547
98.1101	2.71162	0.0354
98.3512	2.71229	0.03538
98.5922	2.71297	0.03531
98.8333	2.71365	0.03528
99.0743	2.71433	0.03521
99.3154	2.71502	0.03517
99.5565	2.71572	0.03507
99.7975	2.71645	0.03502
100.039	2.71718	0.03494
100.28	2.71791	0.03491
100.521	2.71865	0.03484
100.762	2.71939	0.03481
101.003	2.72013	0.03474
101.244	2.72088	0.03471
101.485	2.72163	0.03464
101.726	2.72239	0.0346
101.967	2.72316	0.03454
102.208	2.72393	0.03451
102.449	2.72471	0.03444
102.69	2.72549	0.03442
102.931	2.72628	0.03436
103.172	2.72707	0.03435
103.413	2.72786	0.03429
103.654	2.72865	0.03428
103.895	2.72946	0.03423
104.137	2.73026	0.03422
104.378	2.73107	0.03417
104.619	2.73189	0.03417
104.86	2.73271	0.03413
105.101	2.73352	0.03414
105.342	2.73434	0.03411
105.583	2.73516	0.03413
105.824	2.73597	0.03411
106.065	2.73677	0.03412
106.306	2.73757	0.03409
106.547	2.73836	0.0341
106.788	2.73916	0.03405
107.029	2.73995	0.03403
107.27	2.74076	0.03396
107.511	2.74156	0.03392
107.752	2.74239	0.03382
107.993	2.74322	0.03376
108.235	2.74408	0.03365
108.476	2.74496	0.03358
108.717	2.74586	0.03348
108.958	2.74678	0.03343
109.199	2.74771	0.03334
109.44	2.74866	0.03331
109.681	2.74961	0.03327
109.922	2.75056	0.03328
110.163	2.75152	0.03326
110.404	2.75246	0.0333
110.645	2.75339	0.03331
110.886	2.7543	0.03336
111.127	2.75521	0.03335
111.368	2.75612	0.03339
111.609	2.75702	0.03337
111.85	2.75791	0.03339
112.091	2.75882	0.03334
112.332	2.75974	0.03333
112.574	2.76068	0.03327
112.815	2.76163	0.03326
113.056	2.7626	0.0332
113.297	2.76358	0.03321
113.538	2.76456	0.03317
113.779	2.76555	0.03319
114.02	2.76655	0.03317
114.261	2.76754	0.03322
114.502	2.76853	0.0332
114.743	2.76952	0.03324
114.984	2.7705	0.03323
115.225	2.7715	0.03326
115.466	2.7725	0.03323
115.707	2.77352	0.03326
